agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
AM,AT Metro,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
ATMB,AT Metro Bus,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
BAYES,Bayes Coachlines,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
BFL,Belaire Ferries,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
EXPNZ,Explore Group,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
FGL,Fullers360,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
GBT,Go Bus,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
HE,Howick and Eastern,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
ID,Island Direct,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
MEX,Mahu City Express,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
NZB,New Zealand Bus,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
PC,Pavlovich Transport Solutions,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
RTH,Ritchies Transport,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
SLPH,SeaLink Pine Harbour,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
TZG,Tranzit Group Ltd,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
WBC,Waiheke Bus Company,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
WRC,Waikato Regional Council,http://www.aucklandtransport.govt.nz,Pacific/Auckland,en,(09)355-3553,,
