service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20240228,20240514
Daily-2,1,1,1,1,1,1,1,20240228,20240514
ExSat-1,1,1,1,1,1,0,1,20240228,20240514
ExSun-1,1,1,1,1,1,1,0,20240228,20240514
FriSat-1,0,0,0,0,1,1,0,20240228,20240514
FriSat-2,0,0,0,0,1,1,0,20240228,20240301
FriSat-3,0,0,0,0,1,1,0,20240228,20240514
FriSatSun-1,0,0,0,0,1,1,1,20240228,20240514
Friday-1,0,0,0,0,1,0,0,20240228,20240514
Friday-2,0,0,0,0,1,0,0,20240228,20240514
Friday-3,0,0,0,0,1,0,0,20240228,20240514
Friday-4,0,0,0,0,1,0,0,20240228,20240514
Friday-5,0,0,0,0,1,0,0,20240228,20240514
Friday-6,0,0,0,0,1,0,0,20240302,20240514
Other-1,0,0,0,0,0,0,0,20240228,20240514
Other-10,0,0,0,0,0,0,0,20240228,20240514
Other-11,0,0,0,0,0,0,0,20240228,20240514
Other-12,0,0,0,0,0,0,0,20240228,20240514
Other-13,0,0,0,0,0,0,0,20240228,20240514
Other-14,0,0,0,0,0,0,0,20240228,20240514
Other-15,0,0,0,0,0,0,0,20240228,20240514
Other-16,0,0,0,0,0,0,0,20240228,20240514
Other-17,0,0,0,0,0,0,0,20240228,20240514
Other-18,0,0,0,0,0,0,0,20240228,20240514
Other-19,0,0,0,0,0,0,0,20240228,20240514
Other-2,0,0,0,0,0,0,0,20240228,20240514
Other-20,0,0,0,0,0,0,0,20240228,20240514
Other-21,0,0,0,0,0,0,0,20240228,20240514
Other-22,0,0,0,0,0,0,0,20240228,20240514
Other-23,0,0,0,0,0,0,0,20240228,20240514
Other-24,0,0,0,0,0,0,0,20240228,20240514
Other-25,0,0,0,0,0,0,0,20240228,20240514
Other-26,0,0,0,0,0,0,0,20240228,20240514
Other-27,0,0,0,0,0,0,0,20240228,20240514
Other-28,0,0,0,0,0,0,0,20240228,20240514
Other-29,0,0,0,0,0,0,0,20240302,20240514
Other-3,0,0,0,0,0,0,0,20240228,20240514
Other-30,0,0,0,0,0,0,0,20240228,20240514
Other-31,0,0,0,0,0,0,0,20240302,20240514
Other-32,0,0,0,0,0,0,0,20240302,20240514
Other-33,0,0,0,0,0,0,0,20240302,20240514
Other-34,0,0,0,0,0,0,0,20240302,20240514
Other-35,0,0,0,0,0,0,0,20240228,20240514
Other-36,0,0,0,0,0,0,0,20240308,20240514
Other-4,0,0,0,0,0,0,0,20240228,20240514
Other-5,0,0,0,0,0,0,0,20240228,20240514
Other-6,0,0,0,0,0,0,0,20240228,20240514
Other-7,0,0,0,0,0,0,0,20240228,20240514
Other-8,0,0,0,0,0,0,0,20240228,20240514
Other-9,0,0,0,0,0,0,0,20240228,20240514
Saturday-1,0,0,0,0,0,1,0,20240228,20240514
Saturday-10,0,0,0,0,0,1,0,20240228,20240514
Saturday-2,0,0,0,0,0,1,0,20240228,20240514
Saturday-3,0,0,0,0,0,1,0,20240228,20240514
Saturday-4,0,0,0,0,0,1,0,20240228,20240514
Saturday-5,0,0,0,0,0,1,0,20240228,20240514
Saturday-6,0,0,0,0,0,1,0,20240302,20240514
Saturday-7,0,0,0,0,0,1,0,20240228,20240307
Saturday-8,0,0,0,0,0,1,0,20240302,20240514
Saturday-9,0,0,0,0,0,1,0,20240228,20240514
Sunday-1,0,0,0,0,0,0,1,20240228,20240514
Sunday-2,0,0,0,0,0,0,1,20240228,20240514
Sunday-3,0,0,0,0,0,0,1,20240228,20240514
Sunday-4,0,0,0,0,0,0,1,20240228,20240514
Sunday-5,0,0,0,0,0,0,1,20240228,20240514
Sunday-6,0,0,0,0,0,0,1,20240228,20240514
Thursday-1,0,0,0,1,0,0,0,20240228,20240514
Wednesday-1,0,0,1,0,0,0,0,20240228,20240514
Wednesday-2,0,0,1,0,0,0,0,20240228,20240514
Weekday-1,1,1,1,1,1,0,0,20240228,20240514
Weekday-10,1,1,1,1,1,0,0,20240302,20240514
Weekday-11,1,1,1,1,1,0,0,20240302,20240514
Weekday-2,1,1,1,1,1,0,0,20240228,20240514
Weekday-3,1,1,1,1,1,0,0,20240228,20240514
Weekday-4,1,1,1,1,1,0,0,20240228,20240514
Weekday-5,1,1,1,1,1,0,0,20240228,20240514
Weekday-6,1,1,1,1,1,0,0,20240228,20240514
Weekday-7,1,1,1,1,1,0,0,20240228,20240514
Weekday-8,1,1,1,1,1,0,0,20240228,20240514
Weekday-9,1,1,1,1,1,0,0,20240228,20240307
Weekend-1,0,0,0,0,0,1,1,20240228,20240514
Weekend-2,0,0,0,0,0,1,1,20240228,20240514
Weekend-3,0,0,0,0,0,1,1,20240228,20240514
Weekend-4,0,0,0,0,0,1,1,20240228,20240514
Weekend-5,0,0,0,0,0,1,1,20240228,20240514
Weekend-6,0,0,0,0,0,1,1,20240228,20240514
WkExFri-1,1,1,1,1,0,0,0,20240228,20240514
WkExFri-2,1,1,1,1,0,0,0,20240228,20240307
WkExFri-3,1,1,1,1,0,0,0,20240302,20240514
WkExTues-1,1,0,1,1,1,0,0,20240228,20240514
