service_id,date,exception_type
Daily-2,20240228,2
Daily-2,20240229,2
Daily-2,20240301,2
Daily-2,20240302,2
Daily-2,20240303,2
Daily-2,20240304,2
Daily-2,20240305,2
Daily-2,20240306,2
Daily-2,20240307,2
Daily-2,20240308,2
Daily-2,20240309,2
ExSun-1,20240329,2
ExSun-1,20240401,2
ExSun-1,20240425,2
FriSat-1,20240329,2
FriSat-3,20240308,2
FriSat-3,20240309,2
FriSat-3,20240329,2
FriSatSun-1,20240228,1
FriSatSun-1,20240229,1
FriSatSun-1,20240306,1
FriSatSun-1,20240307,1
FriSatSun-1,20240313,1
FriSatSun-1,20240314,1
FriSatSun-1,20240320,1
FriSatSun-1,20240321,1
FriSatSun-1,20240327,1
FriSatSun-1,20240328,1
FriSatSun-1,20240401,1
FriSatSun-1,20240425,1
FriSatSun-1,20240503,2
FriSatSun-1,20240504,2
FriSatSun-1,20240505,2
FriSatSun-1,20240510,2
FriSatSun-1,20240511,2
FriSatSun-1,20240512,2
Friday-1,20240301,2
Friday-1,20240308,2
Friday-1,20240329,2
Friday-2,20240329,2
Friday-3,20240301,2
Friday-3,20240329,2
Friday-3,20240405,2
Friday-3,20240503,2
Friday-4,20240328,1
Friday-4,20240329,2
Friday-5,20240308,2
Friday-5,20240329,2
Friday-6,20240308,2
Friday-6,20240315,2
Friday-6,20240329,2
Other-1,20240310,1
Other-1,20240316,1
Other-1,20240317,1
Other-10,20240228,1
Other-10,20240229,1
Other-10,20240303,1
Other-10,20240304,1
Other-10,20240305,1
Other-10,20240306,1
Other-10,20240307,1
Other-11,20240318,1
Other-11,20240319,1
Other-12,20240228,1
Other-12,20240229,1
Other-12,20240303,1
Other-12,20240304,1
Other-12,20240305,1
Other-12,20240306,1
Other-12,20240307,1
Other-12,20240311,1
Other-12,20240312,1
Other-12,20240313,1
Other-12,20240314,1
Other-12,20240318,1
Other-12,20240319,1
Other-13,20240228,1
Other-13,20240229,1
Other-13,20240303,1
Other-13,20240304,1
Other-13,20240305,1
Other-13,20240306,1
Other-13,20240307,1
Other-13,20240318,1
Other-13,20240319,1
Other-14,20240228,1
Other-14,20240229,1
Other-14,20240301,1
Other-14,20240304,1
Other-14,20240305,1
Other-14,20240306,1
Other-14,20240307,1
Other-14,20240308,1
Other-15,20240302,1
Other-15,20240303,1
Other-15,20240309,1
Other-16,20240228,1
Other-16,20240229,1
Other-16,20240301,1
Other-16,20240302,1
Other-16,20240304,1
Other-16,20240305,1
Other-16,20240306,1
Other-16,20240307,1
Other-16,20240308,1
Other-16,20240309,1
Other-17,20240302,1
Other-17,20240309,1
Other-18,20240228,1
Other-18,20240229,1
Other-18,20240301,1
Other-18,20240302,1
Other-18,20240303,1
Other-18,20240304,1
Other-18,20240305,1
Other-18,20240306,1
Other-18,20240307,1
Other-18,20240308,1
Other-18,20240309,1
Other-19,20240301,1
Other-19,20240308,1
Other-2,20240316,1
Other-20,20240311,1
Other-20,20240312,1
Other-20,20240313,1
Other-20,20240314,1
Other-20,20240315,1
Other-20,20240318,1
Other-20,20240319,1
Other-20,20240320,1
Other-20,20240321,1
Other-20,20240322,1
Other-20,20240325,1
Other-20,20240326,1
Other-20,20240327,1
Other-20,20240328,1
Other-20,20240402,1
Other-20,20240403,1
Other-20,20240404,1
Other-20,20240405,1
Other-20,20240408,1
Other-20,20240409,1
Other-20,20240410,1
Other-20,20240411,1
Other-20,20240412,1
Other-21,20240415,1
Other-21,20240416,1
Other-21,20240417,1
Other-21,20240418,1
Other-21,20240419,1
Other-21,20240422,1
Other-21,20240423,1
Other-21,20240424,1
Other-21,20240426,1
Other-22,20240301,1
Other-22,20240329,1
Other-22,20240330,1
Other-22,20240331,1
Other-22,20240405,1
Other-22,20240503,1
Other-23,20240329,1
Other-23,20240330,1
Other-23,20240331,1
Other-24,20240329,1
Other-24,20240330,1
Other-24,20240331,1
Other-24,20240401,1
Other-25,20240303,1
Other-25,20240329,1
Other-25,20240330,1
Other-25,20240331,1
Other-25,20240401,1
Other-25,20240407,1
Other-25,20240505,1
Other-26,20240301,1
Other-26,20240328,1
Other-26,20240405,1
Other-26,20240503,1
Other-27,20240308,1
Other-28,20240309,1
Other-29,20240311,1
Other-29,20240312,1
Other-29,20240313,1
Other-29,20240314,1
Other-29,20240318,1
Other-29,20240319,1
Other-29,20240325,1
Other-29,20240326,1
Other-29,20240327,1
Other-3,20240311,1
Other-3,20240312,1
Other-3,20240313,1
Other-3,20240314,1
Other-30,20240228,1
Other-30,20240229,1
Other-30,20240304,1
Other-30,20240305,1
Other-30,20240306,1
Other-30,20240307,1
Other-30,20240311,1
Other-30,20240312,1
Other-30,20240313,1
Other-30,20240314,1
Other-30,20240318,1
Other-30,20240319,1
Other-30,20240325,1
Other-30,20240326,1
Other-30,20240327,1
Other-31,20240323,1
Other-32,20240318,1
Other-32,20240319,1
Other-32,20240325,1
Other-32,20240326,1
Other-32,20240327,1
Other-33,20240315,1
Other-34,20240311,1
Other-34,20240312,1
Other-34,20240313,1
Other-34,20240314,1
Other-34,20240315,1
Other-34,20240318,1
Other-34,20240319,1
Other-34,20240325,1
Other-34,20240326,1
Other-34,20240327,1
Other-35,20240228,1
Other-35,20240229,1
Other-35,20240304,1
Other-35,20240305,1
Other-35,20240306,1
Other-35,20240307,1
Other-35,20240318,1
Other-35,20240319,1
Other-35,20240325,1
Other-35,20240326,1
Other-35,20240327,1
Other-36,20240308,1
Other-36,20240309,1
Other-4,20240228,1
Other-4,20240229,1
Other-4,20240304,1
Other-4,20240305,1
Other-4,20240306,1
Other-4,20240307,1
Other-4,20240318,1
Other-4,20240319,1
Other-5,20240303,1
Other-6,20240228,1
Other-6,20240229,1
Other-6,20240304,1
Other-6,20240305,1
Other-6,20240306,1
Other-6,20240307,1
Other-6,20240311,1
Other-6,20240312,1
Other-6,20240313,1
Other-6,20240314,1
Other-6,20240318,1
Other-6,20240319,1
Other-7,20240310,1
Other-7,20240317,1
Other-8,20240310,1
Other-8,20240311,1
Other-8,20240312,1
Other-8,20240313,1
Other-8,20240314,1
Other-8,20240315,1
Other-8,20240316,1
Other-8,20240317,1
Other-8,20240318,1
Other-8,20240319,1
Other-9,20240315,1
Other-9,20240316,1
Saturday-10,20240309,2
Saturday-10,20240316,2
Saturday-10,20240323,2
Saturday-2,20240302,2
Saturday-2,20240309,2
Saturday-3,20240316,2
Saturday-4,20240309,2
Saturday-4,20240316,2
Saturday-5,20240316,2
Saturday-5,20240323,2
Saturday-6,20240302,2
Saturday-6,20240309,2
Saturday-6,20240316,2
Saturday-8,20240302,2
Saturday-8,20240309,2
Saturday-8,20240316,2
Saturday-8,20240323,2
Saturday-9,20240309,2
Sunday-1,20240329,1
Sunday-1,20240401,1
Sunday-1,20240425,1
Sunday-2,20240329,1
Sunday-2,20240401,1
Sunday-2,20240425,1
Sunday-2,20240303,2
Sunday-3,20240303,2
Sunday-3,20240331,2
Sunday-3,20240407,2
Sunday-3,20240505,2
Sunday-4,20240401,1
Sunday-4,20240331,2
Sunday-5,20240329,1
Sunday-5,20240401,1
Sunday-5,20240425,1
Sunday-5,20240303,2
Sunday-5,20240310,2
Sunday-5,20240317,2
Sunday-6,20240329,1
Sunday-6,20240401,1
Sunday-6,20240425,1
Sunday-6,20240310,2
Sunday-6,20240317,2
Thursday-1,20240425,2
Wednesday-1,20240301,1
Wednesday-1,20240315,1
Wednesday-1,20240405,1
Wednesday-1,20240419,1
Wednesday-1,20240425,1
Wednesday-1,20240503,1
Wednesday-2,20240315,1
Wednesday-2,20240401,1
Wednesday-2,20240419,1
Wednesday-2,20240425,1
Weekday-1,20240329,2
Weekday-1,20240401,2
Weekday-1,20240425,2
Weekday-10,20240304,2
Weekday-10,20240305,2
Weekday-10,20240306,2
Weekday-10,20240307,2
Weekday-10,20240308,2
Weekday-10,20240311,2
Weekday-10,20240312,2
Weekday-10,20240313,2
Weekday-10,20240314,2
Weekday-10,20240315,2
Weekday-10,20240318,2
Weekday-10,20240319,2
Weekday-10,20240325,2
Weekday-10,20240326,2
Weekday-10,20240327,2
Weekday-10,20240329,2
Weekday-10,20240401,2
Weekday-10,20240425,2
Weekday-11,20240304,2
Weekday-11,20240305,2
Weekday-11,20240306,2
Weekday-11,20240307,2
Weekday-11,20240308,2
Weekday-11,20240311,2
Weekday-11,20240312,2
Weekday-11,20240313,2
Weekday-11,20240314,2
Weekday-11,20240318,2
Weekday-11,20240319,2
Weekday-11,20240325,2
Weekday-11,20240326,2
Weekday-11,20240327,2
Weekday-11,20240329,2
Weekday-11,20240401,2
Weekday-11,20240425,2
Weekday-2,20240329,2
Weekday-2,20240401,2
Weekday-2,20240415,2
Weekday-2,20240416,2
Weekday-2,20240417,2
Weekday-2,20240418,2
Weekday-2,20240419,2
Weekday-2,20240422,2
Weekday-2,20240423,2
Weekday-2,20240424,2
Weekday-2,20240425,2
Weekday-2,20240426,2
Weekday-3,20240228,2
Weekday-3,20240229,2
Weekday-3,20240301,2
Weekday-3,20240304,2
Weekday-3,20240305,2
Weekday-3,20240306,2
Weekday-3,20240307,2
Weekday-3,20240308,2
Weekday-3,20240329,2
Weekday-3,20240401,2
Weekday-3,20240425,2
Weekday-4,20240308,2
Weekday-4,20240329,2
Weekday-4,20240401,2
Weekday-4,20240425,2
Weekday-5,20240228,2
Weekday-5,20240229,2
Weekday-5,20240304,2
Weekday-5,20240305,2
Weekday-5,20240306,2
Weekday-5,20240307,2
Weekday-5,20240329,2
Weekday-5,20240401,2
Weekday-5,20240425,2
Weekday-6,20240228,2
Weekday-6,20240229,2
Weekday-6,20240304,2
Weekday-6,20240305,2
Weekday-6,20240306,2
Weekday-6,20240307,2
Weekday-6,20240308,2
Weekday-6,20240329,2
Weekday-6,20240401,2
Weekday-6,20240425,2
Weekday-7,20240228,2
Weekday-7,20240229,2
Weekday-7,20240304,2
Weekday-7,20240305,2
Weekday-7,20240306,2
