shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1396-03803-3c87ff8c,-37.00604,174.79192,1,0
1396-03803-3c87ff8c,-37.00598,174.7919,2,0.007
1396-03803-3c87ff8c,-37.00619,174.79107,3,0.084
1396-03803-3c87ff8c,-37.00634,174.79112,4,0.101
1396-03803-3c87ff8c,-37.00619,174.79107,5,0.118
1396-03803-3c87ff8c,-37.00632,174.79061,6,0.161
1396-03803-3c87ff8c,-37.00632,174.79058,7,0.164
1396-03803-3c87ff8c,-37.00632,174.79055,8,0.167
1396-03803-3c87ff8c,-37.00631,174.79053,9,0.169
1396-03803-3c87ff8c,-37.00629,174.79052,10,0.171
1396-03803-3c87ff8c,-37.00605,174.79042,11,0.199
1396-03803-3c87ff8c,-37.00589,174.79098,12,0.252
1396-03803-3c87ff8c,-37.00584,174.79116,13,0.269
1396-03803-3c87ff8c,-37.00527,174.79091,14,0.336
1396-03803-3c87ff8c,-37.00503,174.7908,15,0.364
1396-03803-3c87ff8c,-37.0047,174.79066,16,0.403
1396-03803-3c87ff8c,-37.00452,174.79061,17,0.423
1396-03803-3c87ff8c,-37.00451,174.7905,18,0.433
1396-03803-3c87ff8c,-37.00448,174.79044,19,0.439
1396-03803-3c87ff8c,-37.00444,174.79041,20,0.444
1396-03803-3c87ff8c,-37.00434,174.79042,21,0.455
1396-03803-3c87ff8c,-37.0043,174.79046,22,0.461
1396-03803-3c87ff8c,-37.00427,174.79051,23,0.467
1396-03803-3c87ff8c,-37.00409,174.7904,24,0.489
1396-03803-3c87ff8c,-37.00355,174.79015,25,0.553
1396-03803-3c87ff8c,-37.00348,174.7901,26,0.562
1396-03803-3c87ff8c,-37.00309,174.78988,27,0.61
1396-03803-3c87ff8c,-37.00272,174.78968,28,0.655
1396-03803-3c87ff8c,-37.00208,174.78934,29,0.732
1396-03803-3c87ff8c,-37.00198,174.78916,30,0.751
1396-03803-3c87ff8c,-37.00198,174.78916,31,0.751
1396-03803-3c87ff8c,-37.00196,174.78911,32,0.756
1396-03803-3c87ff8c,-37.00193,174.78891,33,0.774
1396-03803-3c87ff8c,-37.00223,174.78784,34,0.875
1396-03803-3c87ff8c,-37.00244,174.7871,35,0.945
1396-03803-3c87ff8c,-37.00256,174.78688,36,0.969
1396-03803-3c87ff8c,-37.00269,174.78672,37,0.989
1396-03803-3c87ff8c,-37.0027,174.78671,38,0.99
1396-03803-3c87ff8c,-37.0027,174.78671,39,0.99
1396-03803-3c87ff8c,-37.00285,174.78661,40,1.009
1396-03803-3c87ff8c,-37.00297,174.78658,41,1.023
1396-03803-3c87ff8c,-37.00306,174.78658,42,1.033
1396-03803-3c87ff8c,-37.00346,174.78673,43,1.079
1396-03803-3c87ff8c,-37.00358,174.78677,44,1.093
1396-03803-3c87ff8c,-37.0037,174.78679,45,1.106
1396-03803-3c87ff8c,-37.00381,174.78678,46,1.118
1396-03803-3c87ff8c,-37.00393,174.78675,47,1.132
1396-03803-3c87ff8c,-37.00412,174.78662,48,1.156
