trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1396-03803-17100-2-5a38f080,04:45:00,04:45:00,2375-c1152962,1,ONEHUNGA,0,0,0,0
1396-03803-17100-2-5a38f080,04:45:40,04:45:40,2206-d03ff463,2,ONEHUNGA,0,0,0.101,0
1396-03803-17100-2-5a38f080,04:49:59,04:50:00,2008-73e12a47,3,ONEHUNGA,0,0,1.562,1
1396-03803-17100-2-5a38f080,04:53:45,04:53:45,2002-1e18547e,4,ONEHUNGA,0,0,3.373,0
1396-03803-17100-2-5a38f080,04:57:36,04:57:36,2041-a3484e19,5,ONEHUNGA,0,0,5.235,0
1396-03803-17100-2-5a38f080,04:58:47,04:58:47,2039-1d26f1eb,6,ONEHUNGA,0,0,5.805,0
1396-03803-17100-2-5a38f080,04:59:35,04:59:35,6667-e85fa3e6,7,ONEHUNGA,0,0,6.182,0
1396-03803-17100-2-5a38f080,05:00:14,05:00:14,6665-26a7c1a5,8,ONEHUNGA,0,0,6.495,0
1396-03803-17100-2-5a38f080,05:00:45,05:00:45,6662-19c9d938,9,ONEHUNGA,0,0,6.746,0
1396-03803-17100-2-5a38f080,05:01:12,05:01:12,6663-2258465e,10,ONEHUNGA,0,0,6.965,0
1396-03803-17100-2-5a38f080,05:01:38,05:01:38,6659-406a17d6,11,ONEHUNGA,0,0,7.172,0
1396-03803-17100-2-5a38f080,05:03:08,05:03:08,6656-2ffe3056,12,ONEHUNGA,0,0,7.891,0
1396-03803-17100-2-5a38f080,05:05:13,05:05:13,6648-ca4d81c9,13,ONEHUNGA,0,0,8.901,0
1396-03803-17100-2-5a38f080,05:06:05,05:06:05,6650-1f6095a2,14,ONEHUNGA,0,0,9.32,0
1396-03803-17100-2-5a38f080,05:07:59,05:08:00,6955-d08738e8,15,ONEHUNGA,0,0,10.244,1
1396-03803-17100-2-5a38f080,05:09:15,05:09:15,2033-91179cb7,16,ONEHUNGA,0,0,10.797,0
1396-03803-17100-2-5a38f080,05:09:37,05:09:37,6623-daa2eabe,17,ONEHUNGA,0,0,10.957,0
1396-03803-17100-2-5a38f080,05:11:02,05:11:02,2419-9c55e172,18,ONEHUNGA,0,0,11.582,0
1396-03803-17100-2-5a38f080,05:12:09,05:12:09,2415-8fa0e2bd,19,ONEHUNGA,0,0,12.071,0
1396-03803-17100-2-5a38f080,05:13:28,05:13:28,2394-adaee67d,20,ONEHUNGA,0,0,12.65,0
1396-03803-17100-2-5a38f080,05:14:14,05:14:14,6604-f753a9d1,21,ONEHUNGA,0,0,12.986,0
1396-03803-17100-2-5a38f080,05:14:58,05:14:58,6594-9307704c,22,ONEHUNGA,0,0,13.31,0
1396-03803-17100-2-5a38f080,05:16:00,05:16:00,6572-8860a272,23,ONEHUNGA,0,0,13.763,0
1396-03803-17100-2-5a38f080,05:16:45,05:16:45,6687-c3285fdd,24,ONEHUNGA,0,0,14.095,0
1396-03803-17100-2-5a38f080,05:22:27,05:22:27,1428-6f648ff5,25,ONEHUNGA,0,0,16.61,0
1396-03803-17100-2-5a38f080,05:23:17,05:23:17,1040-cf3cfcd1,26,ONEHUNGA,0,0,16.979,0
1396-03803-17100-2-5a38f080,05:25:00,05:25:00,8589-791dd25b,27,ONEHUNGA,1,0,17.738,0
1036-35303-61200-2-7f1edc8f,17:00:00,17:00:00,1814-1fa8dbdb,1,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:01:44,17:01:44,6923-277d30d7,2,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:02:34,17:02:34,2335-144eb407,3,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:03:28,17:03:28,6771-8602ab79,4,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:05:20,17:05:20,6564-f42f6f91,5,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:06:31,17:06:31,6318-c54a147b,6,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:07:20,17:07:20,2218-4acfc0fe,7,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:07:51,17:07:51,6320-fb5d5c25,8,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:09:05,17:09:05,6322-afdc13de,9,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:10:02,17:10:02,6324-3c18b5e7,10,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:10:38,17:10:38,6326-8e2ae2fd,11,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:12:00,17:12:00,6969-c6fa2f63,12,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:12:58,17:12:58,6940-71f8455e,13,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:13:56,17:13:56,2482-b0dd0b9f,14,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:14:54,17:14:54,2138-7c992b2a,15,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:16:18,17:16:18,6354-46244a5c,16,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:17:54,17:17:54,2122-c0213883,17,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:19:16,17:19:16,2034-31f116c5,18,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:20:47,17:20:47,6142-4a6469e3,19,BOTANY,0,0,,
1036-35303-61200-2-7f1edc8f,17:25:00,17:25:00,6231-190b2aaa,20,BOTANY,1,0,,
