trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,speed_m_per_s
1175-03508-20100-2-8b1db74a,05:35:00,05:35:00,6231-190b2aaa,1,MANUKAU,0,0,0.0,0,0.0
1175-03508-20100-2-8b1db74a,05:38:55,05:38:55,6295-d0a34644,2,MANUKAU,0,0,1.907,0,0.008114893617021278
1175-03508-20100-2-8b1db74a,05:39:32,05:39:32,6865-84853327,3,MANUKAU,0,0,2.21,0,0.008189189189189188
1175-03508-20100-2-8b1db74a,05:40:26,05:40:26,6273-7134300c,4,MANUKAU,0,0,2.652,0,0.008185185185185188
1175-03508-20100-2-8b1db74a,05:41:21,05:41:21,6269-20e1e5a1,5,MANUKAU,0,0,3.095,0,0.008054545454545455
1175-03508-20100-2-8b1db74a,05:42:31,05:42:31,6299-5fbb4005,6,MANUKAU,0,0,3.662,0,0.008099999999999996
1175-03508-20100-2-8b1db74a,05:44:13,05:44:13,6434-fb8df956,7,MANUKAU,0,0,4.493,0,0.008147058823529415
1175-03508-20100-2-8b1db74a,05:45:04,05:45:04,2308-1ea9078d,8,MANUKAU,0,0,4.91,0,0.00817647058823529
1175-03508-20100-2-8b1db74a,05:46:10,05:46:10,2310-292697a1,9,MANUKAU,0,0,5.452,0,0.008212121212121209
1175-03508-20100-2-8b1db74a,05:46:58,05:46:58,2065-5946adeb,10,MANUKAU,0,0,5.841,0,0.008104166666666671
1175-03508-20100-2-8b1db74a,05:48:36,05:48:36,2309-7018444a,11,MANUKAU,0,0,6.638,0,0.008132653061224487
1175-03508-20100-2-8b1db74a,05:49:16,05:49:16,1965-8fdd109e,12,MANUKAU,0,0,6.963,0,0.008125000000000004
1175-03508-20100-2-8b1db74a,05:50:00,05:50:00,2363-34a0f30c,13,MANUKAU,0,0,7.443,0,0.010909090909090898
1175-03508-20100-2-8b1db74a,05:51:54,05:51:54,2121-d93e093d,14,MANUKAU,0,0,8.15,0,0.006201754385964919
1175-03508-20100-2-8b1db74a,05:52:23,05:52:23,2123-0c4b14a6,15,MANUKAU,0,0,8.364,0,0.0073793103448276005
1175-03508-20100-2-8b1db74a,05:54:08,05:54:08,6964-b7a5315a,16,MANUKAU,0,0,9.132,0,0.007314285714285704
1175-03508-20100-2-8b1db74a,05:55:19,05:55:19,2139-7aa2270b,17,MANUKAU,0,0,9.645,0,0.007225352112676055
1175-03508-20100-2-8b1db74a,05:56:31,05:56:31,6304-b491a052,18,MANUKAU,0,0,10.171,0,0.007305555555555553
1175-03508-20100-2-8b1db74a,05:57:02,05:57:02,6937-7756dec1,19,MANUKAU,0,0,10.402,0,0.007451612903225802
1175-03508-20100-2-8b1db74a,05:57:38,05:57:38,6315-f9257b12,20,MANUKAU,0,0,10.658,0,0.0071111111111111175
1175-03508-20100-2-8b1db74a,05:59:48,05:59:48,6383-361675c5,21,MANUKAU,0,0,11.411,0,0.005792307692307693
1175-03508-20100-2-8b1db74a,06:00:06,06:00:06,6933-5a1a935c,22,MANUKAU,0,0,11.745,0,0.018555555555555533
1175-03508-20100-2-8b1db74a,06:03:00,06:03:00,1812-fc74d6f8,23,MANUKAU,1,0,13.019,0,0.007321839080459775
