"trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint"
"1175-03505-33000-2-428612e7,09:10:00,09:10:00,1812-fc74d6f8,1,BOTANY,0,0,0,0"
"1175-03505-33000-2-428612e7,09:14:03,09:14:03,6368-126c135c,2,BOTANY,0,0,1.556,0"
"1175-03505-33000-2-428612e7,09:16:16,09:16:16,6306-5444647c,3,BOTANY,0,0,2.415,0"
"1175-03505-33000-2-428612e7,09:17:07,09:17:07,6308-787111d1,4,BOTANY,0,0,2.739,0"
"1175-03505-33000-2-428612e7,09:17:39,09:17:39,6313-c7a93ff1,5,BOTANY,0,0,2.948,0"
"1175-03505-33000-2-428612e7,09:19:01,09:19:01,2142-76fdcecd,6,BOTANY,0,0,3.472,0"
"1175-03505-33000-2-428612e7,09:20:35,09:20:35,6967-00730f06,7,BOTANY,0,0,4.075,0"
"1175-03505-33000-2-428612e7,09:21:19,09:21:19,2136-dcb09665,8,BOTANY,0,0,4.353,0"
"1175-03505-33000-2-428612e7,09:22:27,09:22:27,2236-052f4969,9,BOTANY,0,0,4.786,0"
"1175-03505-33000-2-428612e7,09:22:53,09:22:53,2134-e0561d55,10,BOTANY,0,0,4.952,0"
"1175-03505-33000-2-428612e7,09:23:34,09:23:34,2446-5607a6ec,11,BOTANY,0,0,5.216,0"
"1175-03505-33000-2-428612e7,09:25:00,09:25:00,2334-9660f119,12,BOTANY,0,0,5.771,0"
"1175-03505-33000-2-428612e7,09:26:32,09:26:32,1962-ebe3afb5,13,BOTANY,0,0,6.348,0"
"1175-03505-33000-2-428612e7,09:27:05,09:27:05,2454-e171ed2c,14,BOTANY,0,0,6.559,0"
"1175-03505-33000-2-428612e7,09:28:12,09:28:12,2080-eeeeb66a,15,BOTANY,0,0,6.983,0"
"1175-03505-33000-2-428612e7,09:29:16,09:29:16,2078-e7c44308,16,BOTANY,0,0,7.38,0"
"1175-03505-33000-2-428612e7,09:30:29,09:30:29,6983-dad68cb6,17,BOTANY,0,0,7.841,0"
"1175-03505-33000-2-428612e7,09:31:44,09:31:44,6985-0a2b05a8,18,BOTANY,0,0,8.313,0"
"1175-03505-33000-2-428612e7,09:32:57,09:32:57,6962-ea740bad,19,BOTANY,0,0,8.778,0"
"1175-03505-33000-2-428612e7,09:35:05,09:35:05,6192-832789b9,20,BOTANY,0,0,9.581,0"
"1175-03505-33000-2-428612e7,09:36:24,09:36:24,6194-4a979f5f,21,BOTANY,0,0,10.08,0"
"1175-03505-33000-2-428612e7,09:37:35,09:37:35,6196-5e67568e,22,BOTANY,0,0,10.523,0"
"1175-03505-33000-2-428612e7,09:38:46,09:38:46,6198-424b8d2a,23,BOTANY,0,0,10.969,0"
"1175-03505-33000-2-428612e7,09:39:46,09:39:46,6220-3ae9ade7,24,BOTANY,0,0,11.346,0"
"1175-03505-33000-2-428612e7,09:41:20,09:41:20,6779-150cf64f,25,BOTANY,0,0,11.938,0"
"1175-03505-33000-2-428612e7,09:45:00,09:45:00,6231-190b2aaa,26,BOTANY,1,0,13.322,0"
"1028-03302-47700-2-77297f2f,13:15:00,13:15:00,1777-3e02a2cf,1,PAPAKURA,0,0,0,0"
"1028-03302-47700-2-77297f2f,13:17:27,13:17:27,7952-fe4f53b2,2,PAPAKURA,0,0,0.946,0"
"1028-03302-47700-2-77297f2f,13:18:08,13:18:08,1356-0146ace9,3,PAPAKURA,0,0,1.208,0"
"1028-03302-47700-2-77297f2f,13:19:18,13:19:18,7642-ea38834a,4,PAPAKURA,0,0,1.651,0"
"1028-03302-47700-2-77297f2f,13:21:55,13:21:55,6568-6336d243,5,PAPAKURA,0,0,2.658,0"
"1028-03302-47700-2-77297f2f,13:23:35,13:23:35,6004-025a4d0b,6,PAPAKURA,0,0,3.301,0"
"1028-03302-47700-2-77297f2f,13:24:34,13:24:34,6006-5118afff,7,PAPAKURA,0,0,3.677,0"
"1028-03302-47700-2-77297f2f,13:25:42,13:25:42,6956-f4f9f6c0,8,PAPAKURA,0,0,4.112,0"
"1028-03302-47700-2-77297f2f,13:26:30,13:26:30,6010-573898ce,9,PAPAKURA,0,0,4.418,0"
"1028-03302-47700-2-77297f2f,13:26:59,13:26:59,2282-98a569ca,10,PAPAKURA,0,0,4.605,0"
"1028-03302-47700-2-77297f2f,13:27:55,13:27:55,6014-ad211380,11,PAPAKURA,0,0,4.961,0"
"1028-03302-47700-2-77297f2f,13:29:01,13:29:01,6016-f5105b5d,12,PAPAKURA,0,0,5.385,0"
"1028-03302-47700-2-77297f2f,13:30:11,13:30:11,6018-6ec17b29,13,PAPAKURA,0,0,5.837,0"
"1028-03302-47700-2-77297f2f,13:31:20,13:31:20,6020-e7ccacf4,14,PAPAKURA,0,0,6.279,0"
"1028-03302-47700-2-77297f2f,13:32:34,13:32:34,6022-e74fbfc4,15,PAPAKURA,0,0,6.756,0"
"1028-03302-47700-2-77297f2f,13:34:27,13:34:27,6748-a5da120c,16,PAPAKURA,0,0,7.48,0"
"1028-03302-47700-2-77297f2f,13:37:00,13:37:00,2188-83862626,17,PAPAKURA,0,0,8.457,0"
"1028-03302-47700-2-77297f2f,13:37:59,13:38:00,2127-d4ee58fe,18,PAPAKURA,0,0,8.845,1"
"1028-03302-47700-2-77297f2f,13:42:22,13:42:22,2144-f41225ff,19,PAPAKURA,0,0,10.488,0"
"1028-03302-47700-2-77297f2f,13:43:29,13:43:29,6030-4ac478ba,20,PAPAKURA,0,0,10.91,0"
"1028-03302-47700-2-77297f2f,13:45:10,13:45:10,6888-50de093b,21,PAPAKURA,0,0,11.543,0"
"1028-03302-47700-2-77297f2f,13:45:59,13:45:59,6032-f087a2c8,22,PAPAKURA,0,0,11.852,0"
"1028-03302-47700-2-77297f2f,13:46:43,13:46:43,6034-32537549,23,PAPAKURA,0,0,12.129,0"
"1028-03302-47700-2-77297f2f,13:47:43,13:47:43,6036-5e3a267c,24,PAPAKURA,0,0,12.5,0"
"1028-03302-47700-2-77297f2f,13:48:52,13:48:52,6038-926fe1f9,25,PAPAKURA,0,0,12.933,0"
"1028-03302-47700-2-77297f2f,13:49:21,13:49:21,2290-f342b6c3,26,PAPAKURA,0,0,13.118,0"
"1028-03302-47700-2-77297f2f,13:50:03,13:50:03,2473-358e0fc9,27,PAPAKURA,0,0,13.376,0"
"1028-03302-47700-2-77297f2f,13:50:59,13:51:00,6044-9da250d0,28,PAPAKURA,0,0,13.734,1"
"1028-03302-47700-2-77297f2f,13:53:01,13:53:01,6042-574a8217,29,PAPAKURA,0,0,14.414,0"
"1028-03302-47700-2-77297f2f,13:54:37,13:54:37,2416-8b918234,30,PAPAKURA,0,0,14.954,0"
"1028-03302-47700-2-77297f2f,13:55:12,13:55:12,2420-d618da7d,31,PAPAKURA,0,0,15.147,0"
"1028-03302-47700-2-77297f2f,13:55:59,13:55:59,6046-23479c49,32,PAPAKURA,0,0,15.411,0"
"1028-03302-47700-2-77297f2f,13:57:41,13:57:41,2536-ad1d8fa6,33,PAPAKURA,0,0,15.98,0"
