stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,platform_code,wheelchair_boarding,start_date,end_date
2375-c1152962,2375,Stop D Auckland Domestic Airport,,-37.00604,174.79192,,,0,51474-d9dd1618,,D,0,20240228,20240514
2206-d03ff463,2206,Stop B Auckland Domestic Airport,,-37.00634,174.79112,,,0,51474-d9dd1618,,B,0,20240228,20240514
2008-73e12a47,2008,Stop A International Airport,,-37.00435,174.7824,,,0,51473-5d04be43,,A,0,20240228,20240514
2002-1e18547e,2002,New Zealand School of Tourism,,-36.9989,174.78924,,,0,,,,0,20240228,20240514
2041-a3484e19,2041,Archives New Zealand,,-36.98691,174.7835,,,0,,,,0,20240228,20240514
2039-1d26f1eb,2039,Airpark Drive,,-36.9829,174.78105,,,0,,,,0,20240228,20240514
6667-e85fa3e6,6667,Kingsford Smith Place,,-36.97983,174.78227,,,0,,,,0,20240228,20240514
6665-26a7c1a5,6665,Amelia Earhart Avenue,,-36.97739,174.78376,,,0,,,,0,20240228,20240514
6662-19c9d938,6662,Brigade Road,,-36.9753,174.78438,,,0,,,,0,20240228,20240514
6663-2258465e,6663,Ascot Road,,-36.97341,174.78463,,,0,,,,0,20240228,20240514
6659-406a17d6,6659,Richard Pearse Drive,,-36.97207,174.7854,,,0,,,,0,20240228,20240514
6656-2ffe3056,6656,Mangere Central Community Hall,,-36.97514,174.79212,,,0,,,,0,20240228,20240514
6648-ca4d81c9,6648,Jordan Road,,-36.97259,174.79458,,,0,,,,0,20240228,20240514
6650-1f6095a2,6650,Cape Road,,-36.97024,174.79576,,,0,,,,0,20240228,20240514
6955-d08738e8,6955,Mangere Town Centre,,-36.96896,174.7996,,,0,,,,0,20240228,20240514
2033-91179cb7,2033,Te Kura Kaupapa Maori o Mangere,,-36.96553,174.79544,,,0,,,,0,20240228,20240514
6623-daa2eabe,6623,Bader Drive/Idlewild Avenue,,-36.96435,174.79463,,,0,,,,0,20240228,20240514
2419-9c55e172,2419,Mangere College,,-36.95938,174.79171,,,0,,,,0,20240228,20240514
2415-8fa0e2bd,2415,Hinau Road,,-36.95597,174.79007,,,0,,,,0,20240228,20240514
2394-adaee67d,2394,Tanners Road,,-36.95121,174.79104,,,0,,,,0,20240228,20240514
6604-f753a9d1,6604,Te Pane o Mataoho/Mangere Mountain,,-36.94841,174.78972,,,0,,,,0,20240228,202405146594-9307704c
6594-9307704c,6594,Mangere Bridge School,,-36.94587,174.7882,,,0,,,,0,20240228,20240514
6572-8860a272,6572,Mangere Bridge Shops,,-36.94197,174.7871,,,0,,,,0,20240228,20240514
6687-c3285fdd,6687,Crawford Avenue,,-36.94063,174.78942,,,0,,,,0,20240228,20240514
1428-6f648ff5,1428,Gloucester Park,,-36.92859,174.7864,,,0,,,,0,20240228,20240514
1040-cf3cfcd1,1040,Onehunga Station,,-36.92543,174.78565,,,0,,,,0,20240228,20240514
8589-791dd25b,8589,Stop D Onehunga,,-36.92418,174.78478,,,0,11639-5226f2c2,,D,0,20240228,20240514
