stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,platform_code,wheelchair_boarding,start_date,end_date
2375-c1152962,2375,Stop D Auckland Domestic Airport,,-37.00604,17479192,,,0,51474-d9dd1618,,D,0,20240228,20240514
2206-d03ff463,2206,Stop B Auckland Domestic Airport,,-37.00634,174.79112,,,0,51474-d9dd1618,,B,0,20240228,20240514
2008-73e12a47,2008,Stop A International Airport,,-37.00435,174.7824,,,0,51473-5d04be43,,A,0,20240228,20240514
2002-1e18547e,2002,New Zealand School of Tourism,,-36.9989,174.78924,,,0,,,,0,20240228,20240514
2041-a3484e19,2041,Archives New Zealand,,-36.98691,174.7835,,,0,,,,0,20240228,20240514
2039-1d26f1eb,2039,Airpark Drive,,-36.9829,174.78105,,,0,,,,0,20240228,20240514
6667-e85fa3e6,6667,Kingsford Smith Place,,-36.97983,174.78227,,,0,,,,0,20240228,20240514
6665-26a7c1a5,6665,Amelia Earhart Avenue,,-36.97739,174.78376,,,0,,,,0,20240228,20240514
6662-19c9d938,6662,Brigade Road,,-36.9753,174.78438,,,0,,,,0,20240228,20240514
6663-2258465e,6663,Ascot Road,,-36.97341,174.78463,,,0,,,,0,20240228,20240514
6659-406a17d6,6659,Richard Pearse Drive,,-36.97207,174.7854,,,0,,,,0,20240228,20240514
6656-2ffe3056,6656,Mangere Central Community Hall,,-36.97514,174.79212,,,0,,,,0,20240228,20240514
6648-ca4d81c9,6648,Jordan Road,,-36.97259,174.79458,,,0,,,,0,20240228,20240514
6650-1f6095a2,6650,Cape Road,,-36.97024,174.79576,,,0,,,,0,20240228,20240514
6955-d08738e8,6955,Mangere Town Centre,,-36.96896,174.7996,,,0,,,,0,20240228,20240514
2033-91179cb7,2033,Te Kura Kaupapa Maori o Mangere,,-36.96553,174.79544,,,0,,,,0,20240228,20240514
6623-daa2eabe,6623,Bader Drive/Idlewild Avenue,,-36.96435,174.79463,,,0,,,,0,20240228,20240514
2419-9c55e172,2419,Mangere College,,-36.95938,174.79171,,,0,,,,0,20240228,20240514
2415-8fa0e2bd,2415,Hinau Road,,-36.95597,174.79007,,,0,,,,0,20240228,20240514
2394-adaee67d,2394,Tanners Road,,-36.95121,174.79104,,,0,,,,0,20240228,20240514
6604-f753a9d1,6604,Te Pane o Mataoho/Mangere Mountain,,-36.94841,174.78972,,,0,,,,0,20240228,202405146594-9307704c
6572-8860a272,6572,Mangere Bridge Shops,,-36.94197,174.7871,,,0,,,,0,20240228,20240514
6687-c3285fdd,6687,Crawford Avenue,,-36.94063,174.78942,,,0,,,,0,20240228,20240514
1428-6f648ff5,1428,Gloucester Park,,-36.92859,174.7864,,,0,,,,0,20240228,20240514
1040-cf3cfcd1,1040,Onehunga Station,,-36.92543,174.78565,,,0,,,,0,20240228,20240514
8589-791dd25b,8589,Stop D Onehunga,,-36.92418,174.78478,,,0,11639-5226f2c2,,D,0,20240228,20240514
6231-190b2aaa,6231,Stop A Botany Town Centre,,-36.93226,174.91196,,,0,31713-ed9ef80f,,A,0,20240228,20240514
6295-d0a34644,6295,Carlingford Drive,,-36.93935,174.91366,,,0,,,,0,20240228,20240514
6865-84853327,6865,Smales Road,,-36.94193,174.91294,,,0,,,,0,20240228,20240514
6273-7134300c,6273,Ballybay Road,,-36.94574,174.91186,,,0,,,,0,20240228,20240514
6269-20e1e5a1,6269,Gracechurch Drive,,-36.94955,174.91084,,,0,,,,0,20240228,20240514
6299-5fbb4005,6299,Cyril French Park,,-36.95445,174.90951,,,0,,,,0,20240228,20240514
6434-fb8df956,6434,Stancombe Road/Barry Curtis Park,,-36.95837,174.91388,,,0,,,,0,20240228,20240514
2308-1ea9078d,2308,Kensway Drive,,-36.95915,174.91829,,,0,,,,0,20240228,20240514
2310-292697a1,2310,Topland Drive,,-36.9602,174.92405,,,0,,,,0,20240228,20240514
2065-5946adeb,2065,Concepts Way,,-36.96284,174.92609,,,0,,,,0,20240228,20240514
2309-7018444a,2309,Geranium Avenue,,-36.96755,174.92176,,,0,,,,0,20240228,20240514
1965-8fdd109e,1965,Ormiston Senior College,,-36.96696,174.9183,,,0,,,,0,20240228,20240514
2363-34a0f30c,2363,Stop B Ormiston Town Centre,,-36.96604,174.91316,,,0,51756-bdf56aad,,B,0,20240228,20240514
2121-d93e093d,2121,Chapel Road/Ormiston Road,,-36.9657,174.90646,,,0,,,,0,20240228,20240514
2123-0c4b14a6,2123,Chapel Road/Barry Curtis Park,,-36.96749,174.90588,,,0,,,,0,20240228,20240514
6964-b7a5315a,6964,Summerset Retirement Village,,-36.97415,174.90402,,,0,,,,0,20240228,20240514
2139-7aa2270b,2139,Chapel Downs Primary School,,-36.97857,174.90279,,,0,,,,0,20240228,20240514
6304-b491a052,6304,Alta Terrace,,-36.98312,174.90154,,,0,,,,0,20240228,20240514
6937-7756dec1,6937,Boundary Road,,-36.9846,174.90035,,,0,,,,0,20240228,20240514
6315-f9257b12,6315,Hollyford Drive,,-36.98552,174.89785,,,0,,,,0,20240228,20240514
6383-361675c5,6383,Acona Lane,,-36.99042,174.8949,,,0,,,,0,20240228,20240514
6933-5a1a935c,6933,Diorella Drive,,-36.99121,174.89139,,,0,,,,0,20240228,20240514
1812-fc74d6f8,1812,Bay 12 Manukau Bus Station,,-36.99357,174.87852,,,0,51252-1843ab98,,12,0,20240228,20240514
